City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
333,hithadhoo,0,MV,1521253825,99,-0.6,73.08,84.72,13.47
334,puerto ayacucho,75,CO,1521248400,55,5.66,-67.63,87.8,6.93
335,neiafu,75,TO,1521252000,78,-18.65,-173.98,82.4,4.7
336,tateyama,75,JP,1521252000,48,36.66,137.31,42.8,5.82
337,huarmey,12,PE,1521253826,84,-10.07,-78.15,66.81,2.62
338,lata,0,IN,1521253826,65,30.78,78.62,43.05,2.06
339,shirokiy,20,RU,1521253826,68,53.87,39.17,-5.02,2.73
340,porto novo,75,BR,1521252000,94,-23.68,-45.44,71.6,2.24
341,halifax,90,CA,1521248400,68,44.65,-63.58,30.2,11.41
342,cherskiy,0,RU,1521253828,42,68.75,161.3,-13.66,2.62
343,pangody,88,RU,1521253828,78,65.85,74.49,-12.04,14.03
344,mamallapuram,75,IN,1521252000,88,12.63,80.17,77.0,4.63
345,sinazongwe,32,ZM,1521253829,97,-17.26,27.46,71.04,3.29
346,tarsus,0,TR,1521251400,81,36.92,34.88,50.0,6.93
347,sisimiut,32,GL,1521253830,64,66.94,-53.67,-0.52,4.52
348,phetchaburi,20,TH,1521252000,74,13.1,99.94,84.2,4.7
349,sistranda,0,NO,1521251400,45,63.73,8.83,23.0,20.8
350,tahoua,0,NE,1521253830,60,14.89,5.26,63.84,2.62
351,vila velha,40,BR,1521252000,78,-3.71,-38.6,82.4,6.93
352,adrar,0,DZ,1521252000,24,27.87,-0.29,59.0,18.34
353,auburn,1,US,1521251760,93,32.61,-85.48,60.8,3.74
354,acapulco,75,MX,1521250920,88,16.86,-99.88,77.0,8.05
355,la cruz,24,MX,1521253833,66,23.92,-106.89,70.77,3.18
356,kautokeino,44,NO,1521253833,70,69.01,23.04,10.47,7.43
357,pimentel,64,BR,1521253833,96,-3.7,-45.5,73.92,2.51
358,ippy,8,CF,1521253834,95,6.26,21.2,70.32,3.74
359,cockburn town,56,TC,1521253834,100,21.46,-71.14,75.54,14.7
360,port-cartier,75,CA,1521248400,53,50.03,-66.88,24.8,13.87
361,yuncheng,76,CN,1521253835,57,35.03,111.0,45.12,8.32
362,da lat,64,VN,1521253835,85,11.95,108.44,71.85,2.73
363,innisfail,75,CA,1521252000,86,52.02,-113.95,28.4,6.93
364,syrskoye,88,RU,1521253836,72,52.57,39.53,8.49,5.75
365,vegreville,20,CA,1521253836,63,53.5,-112.05,14.16,2.95
366,ponta delgada,75,PT,1521252000,100,37.73,-25.67,60.8,20.8
367,wenling,48,CN,1521253837,82,28.38,121.38,58.26,9.66
368,aripuana,88,BR,1521253837,98,-9.17,-60.63,72.84,1.61
369,isangel,68,VU,1521253631,98,-19.55,169.27,82.74,14.47
370,wuwei,8,CN,1521253837,61,37.93,102.64,39.81,3.96
371,inuvik,90,CA,1521252000,78,68.36,-133.71,12.2,6.93
372,takab,36,IR,1521253838,65,36.4,47.11,34.05,5.53
373,zaragoza,0,ES,1521252000,65,41.65,-0.88,46.4,5.82
374,moose factory,75,CA,1521253200,71,51.26,-80.61,6.8,9.17
375,georgetown,0,GY,1521248400,88,6.8,-58.16,77.0,6.93
376,kruisfontein,0,ZA,1521253840,93,-34.0,24.73,59.79,9.89
377,manoharpur,0,IN,1521253840,68,22.35,85.21,74.64,4.41
378,uyuni,12,BO,1521253840,90,-20.46,-66.82,40.35,2.73
379,gairatganj,8,IN,1521253841,36,23.42,78.24,74.19,4.63
380,debica,90,PL,1521252000,86,50.05,21.41,26.6,10.29
381,swift current,90,CA,1521250800,78,50.29,-107.8,32.0,2.24
382,valle de allende,48,MX,1521253842,23,26.94,-105.39,62.94,11.79
383,san cristobal,75,EC,1521252000,87,-0.39,-78.55,53.6,8.05
384,saint anthony,1,US,1521251760,59,43.97,-111.68,39.2,3.36
